Model Id;Model Name;Class;Measure Values
367734;Fujifilm Fujinon XF 16mm f/1.4 R WR Lens for X-Mount, Black {67};A;16
212506;Canon 70-200mm f/4 L IS USM EF-Mount Lens {67};A;17
361623;Nikon D610 DSLR Camera Body {24.3MP};A;5
352654;Nikon AF-S Nikkor 85mm f/1.8 G Autofocus Lens {67};A;15
374818;Sony FE 24-105mm f/4 G OSS AF E-Mount Lens, Black {77} SEL24105G;A;13
212158;Canon 135mm f/2 L USM EF-Mount Lens {72};A;17
371136;Sony Alpha a6500 Mirrorless Digital Camera Body, Black {24.2MP};A;6
284736;Nikon AF-S Nikkor 85mm f/1.4 G Autofocus Lens {77};A;12
364546;Canon 16-35mm f/4 L IS USM EF Mount Lens {77};A;15
212505;Canon 70-200mm f/2.8 L USM EF-Mount Lens {77};A;23
212219;Canon 85mm f/1.8 USM EF-Mount Lens {58};A;14
372320;Canon 24-105mm f/4 L IS USM II EF-Mount Lens {77};A;15
369447;Fujifilm Fujinon XF 35mm f/2 R WR Lens For X-Mount, Black {43};A;15
378399;Canon RF 24-105mm f/4 L IS USM Full-Frame Lens for RF-Mount {77};A;14
359200;Nikon AF-S Nikkor 80-400mm f/4.5-5.6 G ED IF VR AF Lens {77};A;16
358645;Sigma 35mm f/1.4 DG (HSM) A (Art) Full Frame Lens for Canon EF-Mount {67};A;16
369359;Sony Alpha a7S II Mirrorless Digital Camera Body, Black {12.2MP};A;4
364287;Fujifilm Fujinon 10-24mm f/4 XF R OIS Lens For Fuji X-Mount {72};A;15
358741;Nikon D7100 DSLR Camera Body {24.1MP};A;6
354929;Canon EOS 1DX DSLR Camera Body {18.1MP};A;11
287606;Nikon AF-S Nikkor 16-35mm F/4 G ED VR AF Lens {77};A;18
212451;Canon 17-40mm f/4 L USM EF Mount Lens {77};A;21
208783;Nikon D700 DSLR Camera Body {12.1MP};A;6
367451;Sony Vario-Tessar T* FE 16-35mm f/4 ZA OSS AF E-Mount Lens, Black {72} SEL1635Z;A;15
360395;Sigma 35mm f/1.4 DG HSM A (Art) Lens for Nikon {67};A;16
368820;Leica Q (Typ 116) Digital Camera, Black Anodized {24.2MP} 19000;A;9
362937;Fujifilm Fujinon XF 23mm f/1.4 R Lens For X-Mount, Black {62};A;16
364435;Sony FE 70-200mm f/4 G OSS AF E-Mount Lens, White {72} with Tripod Mount (SEL70200G);A;14
372617;Fujifilm X100F Digital Camera, Black {24.3MP} ;A;5
371263;Fujifilm Fujinon XF 23mm f/2 R WR Lens for X-Mount, Black {43};A;13
360776;Fujifilm Fujinon 55-200mm f/3.5-4.8 XF R LM OIS Lens for Fuji X-Mount {62};A;17
366926;Olympus 40-150mm f/2.8 PRO M.Zuiko (Aspherical ED HD MSC Dual VCM) Black Autofocus Lens for MFT (Micro Four Thirds) Mount, Black {72} with Tripod Collar ;A;14
379606;Sony Alpha a6400 Mirrorless Digital Camera Body, Black {24.2MP};A;6
207772;Canon EOS 7D DSLR Camera Body {18MP};A;9
379876;Fujifilm X-T3 Mirrorless Digital Camera Body, Silver {26.1MP} with EF-X8 Flash;A;5
372616;Fujifilm X100F Digital Camera, Silver {24.3MP} ;A;4
354678;Fujifilm Fujinon XF 35mm f/1.4 R Lens for X-Mount, Black {52};A;16
378317;Nikon Nikkor Z 24-70mm f/4 S Lens for Z Mount {72};A;12
374351;Canon 85mm f/1.4 L IS USM EF-Mount Lens [77];A;10
372855;Nikon D7500 DSLR Camera Body {20.9MP};A;5
209484;Nikon AF-S DX Nikkor 35mm f/1.8 G Autofocus Lens for APS-C Sensor DSLR, Black {52};A;21
360554;Canon EOS 70D (W) DSLR Camera Body {20.2MP};A;5
246571;Nikon AF-S Nikkor 50mm f/1.4 G Autofocus Lens {58};A;23
372618;Leica M10 Digital Camera Body, Black Chrome Finish {24MP} 20000;A;4
212157;Canon 100mm f/2.8 Macro USM EF-Mount Lens {58};A;15
372525;Sony FE 85mm f/1.8 Black E Mount Autofocus Lens (SEL85F18) {67};A;8
380450;Canon EOS RP Mirrorless Digital Camera Body {4K25/26.2MP};A;4
378546;Sony FE 24mm f/1.4 GM E Mount Autofocus Lens, Black (SEL24F14GM) {67};A;8
370420;Sony FE 85mm f/1.4 GM E Mount Autofocus Lens, Black (SEL85F14GM) {77};A;10
369756;Sony Alpha a6300 Mirrorless Digital Camera Body, Black {24.2MP};A;9
343680;Nikon AF-S Nikkor 50mm f/1.8 G Autofocus Lens {58};A;19
367550;Canon EOS 5DS DSLR Camera Body {50MP};A;4
212206;Canon 500mm f/4 L IS USM EF-Mount Lens {Gel};A;12
383191;Fujifilm X-T4 Mirrorless Digital Camera Body, Black {26.1MP};A;5
373551;Tamron SP 70-200mm F/2.8 DI VC USD G2 (AFA025N) Autofocus Lens For Nikon {77};A;16
212507;Canon 70-200mm f/4 L USM EF-Mount Lens {67};A;24
283187;Mamiya 7 II Medium Format Rangefinder Camera Body, Black;A;5
374456;Sony Cyber-Shot DSC-RX10 IV Digital Camera, Black {20.1MP};A;10
366992;Nikon AF-S Nikkor 300mm f/4 E PF ED VR Autofocus IF Lens {77};A;9
289577;Nikon D7000 DSLR Camera Body {16.2MP};A;7
381961;Fujifilm X-Pro3 Mirrorless Digital Camera Body, Black {26.1MP};A;7
357575;Leica 35mm f/1.4 Summilux-M Aspherical FLE M-Mount Lens, Germany, Black, 6-Bit {46} 11663;A;6
364948;Nikon AF-S Nikkor 20mm f/1.8 G ED Autofocus Lens {77};A;12
368353;Sony FE 90mm f/2.8 Macro G OSS E Mount Autofocus Lens, Black (SEL90M28G) {62};A;14
374474;Tamron SP 24-70mm F/2.8 DI VC USD G2 (A032) Autofocus Lens For Nikon {82};A;15
375935;Fujifilm X-H1 Mirrorless Digital Camera Body, Black {24.3MP} With EF-X8 Flash;A;5
357495;Canon 24-70mm f/4 L IS USM Macro EF Mount Lens {77};A;13
247072;Nikon F100 35mm Camera Body;A;20
246470;Nikon F3HP 35mm Camera Body;A;12
379097;Olympus OM-D E-M1 Mark II MFT (Micro Four Thirds) Digital Camera Body, Black {20.4MP} with FL-LM3 Flash ;A;6
371872;Panasonic Lumix DC-GH5 Mirrorless MFT (Micro Four Thirds) Digital Camera Body, Black {20.3MP};A;7
235652;Mamiya RZ67 Pro II Medium Format Camera Body;A;10
284738;Nikon AF-S Nikkor 300mm f/2.8 G II ED VR Autofocus IF Lens, Black {Drop-In 52};A;9
360392;Leica M (Typ 240) Digital Camera Body, Black Paint Finish {24MP} 10770;A;4
229804;Leica 50mm f/1.4 Summilux-M ASPH. M-Mount Lens with Built-In Hood, Black, 6-Bit {46} 11891;A;7
380337;Tamron 28-75mm f/2.8 Di III RXD Lens for Sony E-Mount {67} A036;A;10
246723;Nikon Nikkor 80-200mm f/2.8 D ED Macro AF 2-Touch Lens {77} with Integrated Tripod Foot;A;17
364273;Tamron SP 150-600mm f/5-6.3 DI VC USD (011) AF Lens for Nikon {95} with Tripod Collar;A;12
378741;Nikon AF-S Nikkor 500mm f/4 E FL ED VR Autofocus Lens {40.5mm Drop-In};A;4
366774;Canon 11-24mm f/4 L USM EF Mount Lens {Gel};A;7
369302;Leica SL (Type 601) Mirrorless Digital Camera Body, Black {24MP} 10850;A;4
372216;Canon EOS Rebel T7I DSLR Camera Body {24MP};A;3
212211;Canon 600mm f/4 L IS USM EF-Mount Lens {Gel};A;7
212181;Canon 300mm f/2.8 L IS USM EF-Mount Lens {Gel};A;10
378743;Nikon AF-S Nikkor 600mm f/4 E FL ED VR Autofocus Lens {40.5 Drop-In};A;4
363135;Sony Alpha a7 Mirrorless Digital Camera Body, Black {24.3MP};A;10
367663;Canon 50mm f/1.8 STM EF-Mount Lens {49};A;14
363075;Nikon D4S DSLR Camera Body {16.2 MP};A;7
284739;Nikon AF-S Nikkor 600mm f/4 G ED VR Autofocus IF Lens {52 Drop-In};A;6
283766;Canon EOS 60D DSLR Camera Body {18.1MP};A;7
364591;Canon EF-S 10-18mm f/4.5-5.6 IS STM Autofocus Lens for APS-C DSLR {67};A;15
246717;Nikon AF-S Nikkor 70-300mm f/4.5-5.6 G ED IF VR AF Lens {67};A;22
364462;Sigma 50mm F/1.4 DG (HSM) A (Art) Full Frame Lens for Canon EF-Mount {77};A;16
361554;Sigma 18-35mm f/1.8 DC HSM A (Art) EF-Mount Lens for Canon APS-C DSLR {72};A;17
246726;Nikon Nikkor 80-400mm F/4.5-5.6 D ED VR AF Lens {77};A;27
296337;Nikon AF-S Nikkor 17-35mm F/2.8 D ED IF Aspherical AF Lens {77};A;17
364325;Sony 18-105mm f/4 PZ G OSS AF E-Mount Lens {72} SELP18105G;A;11
372269;Nikon AF-S Nikkor 105mm f/1.4 E ED Autofocus IF Lens {82};A;9
372619;Leica M10 Digital Camera Body, Silver Chrome {24MP} 20001;A;4
381576;Sony Alpha a6600 Mirrorless Digital Camera Body, Black {24.2MP};A;6
348000;Nikon AF-S Nikkor 35mm f/1.4 G Autofocus Lens {67};A;11
357463;Sony 10-18mm f/4 E OSS AF E-Mount Lens, Black {62} SEL1018;A;10
353844;Canon 1.4X EF Extender III Teleconverter (L Series Tele/Zoom Lenses);A;12
212195;Canon 400mm f/5.6 L USM EF-Mount Lens {77};A;10
209386;Nikon AF-S DX Nikkor 17-55mm f/2.8 G ED IF Autofocus Lens for APS-C Sensor DSLR, Black {77};A;16
246586;Nikon Nikkor 85mm f/1.4 D IF Autofocus Lens {77};A;10
371092;Leica M Monochrom (Typ 246) Digital Camera Body. Black Chrome Finish {24MP} 10930;A;4
367350;Fujifilm Fujinon XF 90mm f/2 R LM WR Lens for X-Mount, Black {62};A;7
355714;Nikon D600 DSLR Camera Body {24MP};A;7
229607;Leica M6 (Original) (.72X Finder/28-135mm) 35mm Rangefinder Camera Body, Black (10404);A;7
367957;Olympus 7-14mm f/2.8 PRO M.Zuiko (Aspherical ED HD HR MSC) Autofocus Lens for Micro Four Thirds System;A;8
353927;Canon 2X EF Extender III Teleconverter (L Series Tele/Zoom Lenses);A;10
382984;FUJIFILM X100V Digital Camera, Black {26.1MP};A;8
356324;Nikon D4 DSLR Camera Body {16.2MP};A;6
381328;Fujifilm Fujinon 16-80mm f/4 XF R OIS WR Lens for Fuji X-Mount {72};A;8
364274;Tamron SP 150-600mm f/5-6.3 DI VC USD Lens for Canon EF-Mount {95} with Tripod Mount (011);A;11
370794;Sony FE 70-300mm f/4.5-5.6 G OSS AF E-Mount Lens {72} SEL70300G;A;12
375684;Nikon AF-S Nikkor 800mm f/5.6 E FL ED VR Autofocus Lens {52mm Drop-In} With TC800-1.25E ED Teleconverter;A;2
225089;Hasselblad A12 120 Film Back for V System, Chrome (30074);A;23
373108;Fujifilm X-T2 Mirrorless Digital Camera Body, Black {24.3MP} without EF-X8 Flash ;A;5
381823;Sony Alpha a9 II Mirrorless Digital Camera Body, Black {24.2MP};A;3
359809;Sony 35mm F/1.8  OSS E-Mount Autofocus Lens, Black (SEL35F18) {49};A;12
369805;Sigma 150-600mm f/5-6.3 DG OS HSM C (Contemporary) Lens for Canon EF-Mount {95};A;7
383687;Canon EOS 1DX Mark III DSLR Camera Body {20.1MP} Dual CFexpress Type B Slots;A;3
368882;Nikon AF-S DX Nikkor 16-80mm f/2.8-4 E ED IF VR Autofocus Lens for APS-C Sensor DSLR, Black {72};A;9
372542;Olympus 12-100mm f/4 PRO ED IS M.Zuiko Autofocus Lens for Micro Four Thirds System, Black {72};A;10
359049;Tamron SP 24-70mm f/2.8 DI VC USD Lens for Canon EF-Mount {82} A007;A;11
366532;Sony Cyber-Shot DSC-H300 Digital Camera, Black {20.1MP} Requires 4x AA;A;12
212184;Canon 300mm f/4 L IS USM EF-Mount Lens {77};A;12
367313;Canon 500mm f/4 L IS II USM EF-Mount Lens {Gel};A;5
367159;Canon EOS Rebel T6I DSLR Camera Body, Black {24MP};A;9
372357;Fujifilm Fujinon XF 50mm f/2 R WR Lens for X-Mount, Black {46};A;12
212173;Canon 24mm f/1.4 L II USM EF-Mount Lens {77};A;12
381983;Canon RF 70-200mm f/2.8 L IS USM Full-Frame Lens for RF-Mount {77} with Tripod Collar;A;4
363940;Sony Vario-Tessar T* FE 24-70mm f/4 ZA OSS AF E-Mount Lens, Black {67} SEL2470Z;A;13
371217;Sony Planar FE T* 50mm f/1.4 Carl Zeiss ZA E-Mount Autofocus Lens (SEL50F14Z) {72};A;13
212176;Canon 24mm f/3.5 L II TS-E Tilt Shift Manual Focus EF-Mount Lens {82};A;13
362550;Sony FE 28-70mm f/3.5-5.6 OSS AF E-Mount Lens, Black {55} SEL2870;A;15
208712;Canon EF-S 17-55mm f/2.8 IS USM Autofocus Lens for APS-C DSLR {77};A;14
247091;Nikon F6 35mm Camera Body;A;8
352418;Canon 300mm f/2.8 L IS USM II EF-Mount Lens {Gel};A;5
283185;Mamiya 7 Medium Format Rangefinder Camera Body, Black Gray;A;6
357076;Tamron SP 24-70mm F/2.8 DI VC USD (A007) Autofocus Lens For Nikon {82};A;12
381554;Canon EOS 90D DSLR Camera Body {32.5MP};A;7
377469;Sigma 16mm f/1.4 DC DN C (Contemporary) AF APS-C Lens for Sony E-Mount, Black (67);A;10
346082;Canon 70-300mm f/4-5.6 L IS USM EF Mount Lens {67};A;13
366956;Tamron SP 15-30mm F/2.8 DI VC USD (A012) Autofocus Lens For Nikon;A;5
367785;Zeiss Batis 85mm f/1.8 Sonnar T* Autofocus Lens for Sony E Mount {67};A;7
366823;Pentax 645Z Digital Camera Body {51.4MP};A;4
375022;Panasonic Lumix DC-G9 Mirrorless MFT (Micro Four Thirds) Digital Camera Body, Black {20.3MP};A;3
373205;Sony FE 12-24mm f/4 G AF E-Mount Lens, Black (SEL1224G);A;6
380947;Fujifilm GFX 100 Mirrorless Digital Medium Format Camera Body, With EVF-GFX2 Finder {100 MP};A;3
360827;Fujifilm Fujinon XF 27mm f/2.8 Lens for X-Mount, Black {39};A;13
380291;Leica Q-P (Typ 116) Digital Camera, Black Paint {24.2MP} 19045;A;6
207770;Canon EOS 5D DSLR Camera Body {12.8MP};A;9
381213;Nikon Nikkor Z 24-70mm f/2.8 S Lens for Z Mount {82};A;5
364743;Sigma 50mm f/1.4 DG HSM A (Art) Lens for Nikon {77};A;15
366894;Sony FE 24-240mm f/3.5-6.3 OSS AF E-Mount Lens, Black {72} SEL24240;A;13
352324;Nikon SB-910 I-TTL Speedlight Flash [GN111, 35mm] {Bounce, Swivel, Zoom};A;21
383039;Leica M10 Monochrom Digital Camera Body, Black Chrome Finish {40MP} 20050;A;3
371320;Olympus 300mm F/4 M.Zuiko ED IS Pro Autofocus Lens For Micro Four Thirds System {77} With Tripod Mount and Decoration Ring;A;9
377446;Canon EOS 5D Mark IV DSLR Camera Body {30.4MP} with Canon Log Update;A;4
283189;Mamiya 6 Medium Format Rangefinder Camera Body;A;6
371536;Nikon D5 DSLR Camera Body, Dual CF Slots Version {20.8MP};A;3
367789;Leica 50mm f/2 APO-Summicron-M ASPH. M-Mount Lens, Black, 6-Bit {E39} 11141;A;3
289231;Canon 17mm f/4 L TS-E Manual Focus EF-Mount Lens;A;8
343681;Nikon AF-S Nikkor 400mm f/2.8 G ED VR Autofocus IF Lens {52} with Nikon Tripod Foot;A;4
374473;Tamron SP 24-70mm f/2.8 DI VC USD G2 Lens for Canon EF-Mount {82} A032;A;10
246588;Nikon Nikkor 85mm f/1.8 D Autofocus Lens {62};A;11
246529;Nikon Nikkor 105mm f/2.8 D Micro Autofocus Lens {52};A;11
375651;Sony 18-135mm f/3.5-5.6 OSS AF E-Mount Lens, Black {55} SEL18135;A;10
356723;Nikon AF-S Nikkor 70-200mm f/4 G ED IF VR AF Lens {67};A;12
371962;Panasonic Leica Lumix 100-400mm f/4-6.3 DG Vario-Elmar Asph. Power O.I.S. AF Lens for MFT Micro Four Thirds System. Black {72} with Tripod Foot;A;11
371832;Nikon D5600 DSLR Camera Body, Black {24.2MP};A;4
360963;Panasonic Lumix 12-35mm f/2.8 G X Vario Asph. HD Power O.I.S. AF Lens for MFT Micro Four Thirds System, Black {58} ;A;12
359901;Sony 16-50mm f/3.5-5.6 PZ OSS AF E-Mount Lens, Black {40.5} SELP1650;A;11
220517;Contax 645 Medium Format Camera Body;A;7
356473;Nikon AF-S Nikkor 24-85mm F/3.5-4.5 G ED VR IF AF Lens {72};A;17
208710;Canon EF-S 10-22mm f/3.5-4.5 USM Autofocus Lens for APS-C DSLR {77};A;15
212153;Canon 85mm f/1.2 L USM EF-Mount Lens {72};A;12
350968;Nikon SB-700 Speedlight Flash [GN28M] {Bounce, Zoom};A;23
364685;Sony 55-210mm f/4.5-6.3 OSS AF E-Mount Lens, Black {49} SEL55210B;A;13
229574;Leica M3 Single Stroke Preview Lever 35mm Rangefinder Camera Body, Chrome;A;7
378397;Canon RF 50mm f/1.2 L USM Full-Frame Lens for RF-Mount {77};A;5
212449;Canon 16-35mm f/2.8 L USM EF Mount Lens {77};A;14
247084;Nikon F5 35mm Camera Body;A;9
377738;Sigma 35mm f/1.4 DG A (Art) AF Lens for Sony E-Mount, Black {67};A;13
345753;Leica 50mm f/2 Summicron-M M-Mount Lens with Built-In Hood, Black, 6-Bit {39} 11826;A;6
362523;Canon 200-400mm f/4 L IS USM EF Mount Lens {52 Drop-In Gel} with Built-In 1.4x Extender;A;3
287607;Nikon AF-S Nikkor 200-400mm f/4 G ED-IF VR II AF Lens {52};A;10
356254;Nikon AF-S DX Nikkor 55-300mm f/4.5-5.6 G ED VR Autofocus Lens for APS-C Sensor DSLR, Black {58};A;20
382983;FUJIFILM X100V Digital Camera, Silver {26.1MP};A;8
377442;Canon EOS M50 Mirrorless Digital Camera Body, Black {24.1MP};A;5
246670;Nikon AF-S Nikkor 200-400mm f/4 G ED-IF VR AF Lens {52};A;12
364744;Fujifilm Fujinon 18-135mm f/3.5-5.6 XF R LM OIS WR Lens for Fuji X-Mount {67};A;12
381080;Sony FE 200-600mm f/5.6-6.3 G OSS AF E-Mount Lens, White {95} with Tripod Foot (SEL200600G);A;10
382754;Nikon D780 DSLR Camera Body {24.5MP};A;5
225373;Hasselblad 80mm F/2.8 CF T* Lens For Hasselblad 500 Series (V System) {Bayonet 60};A;12
359329;Leica 50mm f/.95 Noctilux-M ASPH. M-Mount Lens, Black, 6-Bit {60} 11602;A;5
373214;Tamron SP 150-600mm f/5-6.3 DI VC USD G2 AF Lens For Nikon {95} with Tripod Mount (A022);A;10
379878;Fujifilm X-T3 Mirrorless Digital Camera Body, Black {26.1MP} without EF-X8 Flash;A;4
354677;Fujifilm Fujinon XF 18mm f/2 R Lens for X-Mount, Black {52};A;15
